id,name,description,price,stock,category,image_url,seller_id,created_at,active
1,"MacBook Pro 14""","Ordinateur portable Apple avec puce M3 Pro, 18Go RAM, 512Go SSD. Écran Liquid Retina XDR.",2499.99,9,Informatique,https://images.unsplash.com/photo-1517336714731-489689fd1ca8?w=400,2,2025-12-17T12:57:57.565790,true
2,iPhone 15 Pro,"Smartphone Apple dernière génération avec titane, puce A17 Pro, caméra 48MP.",1199.99,25,Smartphones,https://images.unsplash.com/photo-1592750475338-74b7b21085ab?w=400,2,2025-12-17T12:57:57.566312,true
3,Sony WH-1000XM5,"Casque audio sans fil avec réduction de bruit active premium, autonomie 30h.",379.99,30,Audio,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=400,2,2025-12-17T12:57:57.566819,true
4,Samsung Galaxy Tab S9,"Tablette Android haut de gamme avec écran AMOLED 11"", S Pen inclus.",899.99,19,Tablettes,https://images.unsplash.com/photo-1544244015-0df4b3ffc6b0?w=400,2,2025-12-17T12:57:57.567601,true
5,Nintendo Switch OLED,"Console de jeu portable avec écran OLED 7"", dock et Joy-Con inclus.",349.99,39,Gaming,https://images.unsplash.com/photo-1578303512597-81e6cc155b3e?w=400,3,2025-12-17T12:57:57.568045,true
6,Dyson V15 Detect,Aspirateur sans fil intelligent avec laser pour détecter la poussière microscopique.,699.99,12,Maison,https://images.unsplash.com/photo-1558317374-067fb5f30001?w=400,3,2025-12-17T12:57:57.568498,true
7,Montre Garmin Fenix 7,"Montre GPS multisports avec cartes TopoActive, autonomie 18 jours.",699.99,18,Sport,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=400,2,2025-12-17T12:57:57.568957,true
8,Canon EOS R6 Mark II,"Appareil photo hybride plein format 24.2MP, vidéo 4K 60fps, stabilisation.",2499.99,6,Photo,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?w=400,3,2025-12-17T12:57:57.569437,true
9,AirPods Pro 2,Écouteurs sans fil Apple avec réduction de bruit adaptative et audio spatial.,279.99,49,Audio,https://images.unsplash.com/photo-1600294037681-c80b4cb5b434?w=400,2,2025-12-17T12:57:57.569945,true
10,"Dell UltraSharp 27""","Moniteur 4K IPS professionnel avec calibration usine, USB-C 90W.",599.99,14,Informatique,https://images.unsplash.com/photo-1527443224154-c4a3942d3acf?w=400,3,2025-12-17T12:57:57.570406,true
11,Benjamin le juif ,Jeune juif pas très cher qui vous fera facilement rire ,0.20,1,Humain,https://cdn.discordapp.com/attachments/1448448194043183165/1450824103542915182/IMG_4133.jpg?ex=6943f0bd&is=69429f3d&hm=29a97908650aa50b7ffb8c249408dfb93695accd3b1adfc1dbe060cbd6a195fa&,2,2025-12-17T13:21:33.017841,true
12,Mathys Le pro ,"Jeune Homme le plus qualifié pour vous réussir vos challenges root-me. Mathys est cher mais en vaut la peine. 
Vous ne serez pas déçu !",499.99,1,Humain,https://cdn.discordapp.com/attachments/1448448194043183165/1450824329146273802/IMG_4135.jpg?ex=6943f0f3&is=69429f73&hm=da6482e37ea83715b5d539fb7fd435fe4c1ac83a1fb3962ea8ff8fac08950b58&,2,2025-12-17T13:24:07.305408,true
13,Gabriel ,Professionnel en Battlefield 6. Il vous permettra de carry toutes vos games. Un Gabriel à vos coté est un Top 1 assuré ! ,399.99,1,Humain,https://cdn.discordapp.com/attachments/1448448194043183165/1450824330052243558/IMG_4136.jpg?ex=6943f0f3&is=69429f73&hm=33f84414d973371ad38597c2a7a8eddd2b2307764ec46015985f694da1a31fc2&,2,2025-12-17T13:28:21.907642,true
14,Jad,Jeune footballeur passioné de trompette vous fera rêver sur tous vos matchs. Sur le terrain il ne sert à rien mais après une bonne defaite c'est le roi de la trompette pour vous remonter le moral ! ,499.99,1,Humain,https://cdn.discordapp.com/attachments/1448448194043183165/1450825437960994908/IMG_4137.jpg?ex=6943f1fb&is=6942a07b&hm=5a86c2769f02f57c37610fb8c950332a393078c214d038b4be60f278f1c1ed1d&,2,2025-12-17T13:34:19.522448,true
